,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Years Played,Height(cm)
20,Jaylen Adams|adamsja01,2019,2021,G,6-0,225.0,May 4 1996,St. Bonaventure,2,182.88
23,Steven Adams|adamsst01,2014,2021,C,6-11,265.0,July 20 1993,Pitt,7,210.82
25,Bam Adebayo|adebaba01,2018,2021,C-F,6-9,255.0,July 18 1997,Kentucky,3,205.74
44,LaMarcus Aldridge|aldrila01,2007,2021,F-C,6-11,250.0,July 19 1985,Texas,14,210.82
54,Nickeil Alexander-Walker|alexani01,2020,2021,G,6-6,205.0,September 2 1998,Virginia Tech,1,198.12
59,Grayson Allen|allengr01,2019,2021,G,6-4,198.0,October 8 1995,Duke,2,193.04
60,Jarrett Allen|allenja01,2018,2021,C-F,6-11,243.0,April 21 1998,Texas,3,210.82
100,Kyle Anderson|anderky01,2015,2021,F-G,6-9,230.0,September 20 1993,UCLA,6,205.74
114,Giannis Antetokounmpo|antetgi01,2014,2021,F-G,6-11,242.0,December 6 1994,,7,210.82
115,Kostas Antetokounmpo|antetko01,2019,2021,F,6-10,200.0,November 20 1997,Dayton,2,208.28
116,Thanasis Antetokounmpo|antetth01,2016,2021,F,6-6,219.0,July 18 1992,,5,198.12
117,Carmelo Anthony|anthoca01,2004,2021,F,6-7,238.0,May 29 1984,Syracuse,17,200.66
122,OG Anunoby|anunoog01,2018,2021,F,6-7,232.0,July 17 1997,Indiana,3,200.66
128,Ryan Arcidiacono|arcidry01,2018,2021,G,6-3,195.0,March 26 1994,Villanova,3,190.5
157,D.J. Augustin|augusdj01,2009,2021,G,5-11,183.0,November 10 1987,Texas,12,180.34
169,Deandre Ayton|aytonde01,2019,2021,C,6-11,250.0,July 23 1998,Arizona,2,210.82
176,Dwayne Bacon|bacondw01,2018,2021,G,6-6,221.0,August 30 1995,Florida State,3,198.12
181,Marvin Bagley|baglema01,2019,2021,F,6-11,235.0,March 14 1999,Duke,2,210.82
198,Lonzo Ball|balllo01,2018,2021,G,6-6,190.0,October 27 1997,UCLA,3,198.12
201,Mohamed Bamba|bambamo01,2019,2021,C,7-0,231.0,May 12 1998,Texas,2,213.36
218,Harrison Barnes|barneha02,2013,2021,F,6-8,225.0,May 30 1992,UNC,8,203.2
235,RJ Barrett|barrerj01,2020,2021,G-F,6-6,214.0,June 14 2000,Duke,1,198.12
244,Will Barton|bartowi01,2013,2021,G,6-6,181.0,January 6 1991,Memphis,8,198.12
252,Keita Bates-Diop|bateske01,2019,2021,F,6-8,229.0,January 23 1996,Ohio State,2,203.2
261,Nicolas Batum|batumni01,2009,2021,F-G,6-8,230.0,December 14 1988,,12,203.2
268,Aron Baynes|baynear01,2013,2021,C,6-10,260.0,December 9 1986,Washington State,8,208.28
270,Kent Bazemore|bazemke01,2013,2021,G-F,6-4,195.0,July 1 1989,Old Dominion,8,193.04
271,Darius Bazley|bazleda01,2020,2021,F,6-8,208.0,June 12 2000,,1,203.2
273,Bradley Beal|bealbr01,2013,2021,G,6-3,207.0,June 28 1993,Florida,8,190.5
280,Malik Beasley|beaslma01,2017,2021,G,6-4,187.0,November 26 1996,Florida State,4,193.04
297,Jordan Bell|belljo01,2018,2021,F,6-8,216.0,January 7 1995,Oregon,3,203.2
302,DeAndre' Bembry|bembrde01,2017,2021,F,6-5,210.0,July 4 1994,Saint Joseph's,4,195.58
327,Dāvis Bertāns|bertada01,2017,2021,F,6-10,225.0,November 12 1992,,4,208.28
330,Patrick Beverley|beverpa01,2013,2021,G,6-1,180.0,July 12 1988,Arkansas,8,185.42000000000002
347,Khem Birch|birchkh01,2018,2021,C-F,6-9,233.0,September 28 1992,Pitt UNLV,3,205.74
353,Goga Bitadze|bitadgo01,2020,2021,C,6-11,250.0,July 20 1999,,1,210.82
354,Bismack Biyombo|biyombi01,2012,2021,C-F,6-8,255.0,August 28 1992,,9,203.2
355,Nemanja Bjelica|bjeline01,2016,2021,F,6-10,234.0,May 9 1988,,5,208.28
375,Eric Bledsoe|bledser01,2011,2021,G,6-1,214.0,December 9 1989,Kentucky,10,185.42000000000002
390,Bogdan Bogdanović|bogdabo01,2018,2021,G,6-6,220.0,August 18 1992,,3,198.12
391,Bojan Bogdanović|bogdabo02,2015,2021,G-F,6-8,226.0,April 18 1989,,6,203.2
395,Bol Bol|bolbo01,2020,2021,F-C,7-2,220.0,November 16 1999,Oregon,1,218.44
398,Marques Bolden|boldema01,2020,2021,C,6-10,249.0,April 17 1998,Duke,1,208.28
405,Jordan Bone|bonejo01,2020,2021,G,6-2,180.0,November 5 1997,Tennessee,1,187.96
407,Isaac Bonga|bongais01,2019,2021,G,6-8,180.0,November 8 1999,,2,203.2
412,Devin Booker|bookede01,2016,2021,G,6-5,206.0,October 30 1996,Kentucky,5,195.58
430,Chris Boucher|bouchch01,2018,2021,F,6-9,200.0,January 11 1993,Oregon,3,205.74
434,Brian Bowen|bowenbr02,2020,2021,F,6-6,190.0,October 2 1998,,1,198.12
457,Avery Bradley|bradlav01,2011,2021,G,6-3,180.0,November 26 1990,Texas,10,190.5
466,Tony Bradley|bradlto01,2018,2021,F-C,6-10,248.0,January 8 1998,UNC,3,208.28
477,Jarrell Brantley|brantja01,2020,2021,F,6-5,250.0,June 7 1996,College of Charleston,1,195.58
481,Ignas Brazdeikis|brazdig01,2020,2021,F,6-6,221.0,January 8 1999,Michigan,1,198.12
497,Mikal Bridges|bridgmi01,2019,2021,G,6-6,209.0,August 30 1996,Villanova,2,198.12
498,Miles Bridges|bridgmi02,2019,2021,G-F,6-6,225.0,March 21 1998,Michigan State,2,198.12
512,Malcolm Brogdon|brogdma01,2017,2021,G,6-5,229.0,December 11 1992,Virginia,4,195.58
517,Dillon Brooks|brookdi01,2018,2021,F-G,6-7,225.0,January 22 1996,Oregon,3,200.66
526,Bruce Brown|brownbr01,2019,2021,G,6-4,202.0,August 15 1996,Miami (FL),2,193.04
541,Jaylen Brown|brownja02,2017,2021,F-G,6-6,223.0,October 24 1996,California,4,198.12
552,Moses Brown|brownmo01,2020,2021,C,7-2,245.0,October 13 1999,UCLA,1,218.44
562,Sterling Brown|brownst02,2018,2021,G,6-5,219.0,February 10 1995,SMU,3,195.58
565,Troy Brown|browntr01,2019,2021,G-F,6-6,215.0,July 28 1999,Oregon,2,198.12
570,Jalen Brunson|brunsja01,2019,2021,G,6-1,190.0,August 31 1996,Villanova,2,185.42000000000002
577,Thomas Bryant|bryanth01,2018,2021,C,6-10,248.0,July 31 1997,Indiana,3,208.28
592,Reggie Bullock|bullore01,2014,2021,G-F,6-6,205.0,March 16 1991,UNC,7,198.12
600,Trey Burke|burketr01,2014,2021,G,6-0,185.0,November 12 1992,Michigan,7,182.88
602,Alec Burks|burksal01,2012,2021,G,6-6,214.0,July 20 1991,Colorado,9,198.12
625,Jimmy Butler|butleji01,2012,2021,F-G,6-7,230.0,September 14 1989,Marquette,9,200.66
639,Bruno Caboclo|cabocbr01,2015,2021,F-C,6-9,218.0,September 21 1995,,6,205.74
649,Kentavious Caldwell-Pope|caldwke01,2014,2021,G,6-5,204.0,February 18 1993,Georgia,7,195.58
663,Vlatko Čančar|cancavl01,2020,2021,F,6-8,236.0,April 10 1997,,1,203.2
665,Clint Capela|capelca01,2015,2021,C,6-10,240.0,May 18 1994,,6,208.28
698,Jevon Carter|carteje01,2019,2021,G,6-1,200.0,September 14 1995,West Virginia,2,185.42000000000002
703,Wendell Carter|cartewe01,2019,2021,C,6-10,270.0,April 16 1999,Duke,2,208.28
704,Michael Carter-Williams|cartemi01,2014,2021,G,6-5,190.0,October 10 1991,Syracuse,7,195.58
707,Alex Caruso|carusal01,2018,2021,G,6-4,186.0,February 28 1994,Texas A&M,3,193.04
717,Willie Cauley-Stein|caulewi01,2016,2021,F-C,7-0,240.0,August 18 1993,Kentucky,5,213.36
752,Chris Chiozza|chiozch01,2019,2021,G,5-11,175.0,November 21 1995,Florida,2,180.34
755,Marquese Chriss|chrisma01,2017,2021,F,6-9,240.0,July 2 1997,Washington,4,205.74
769,Gary Clark|clarkga01,2019,2021,F,6-6,225.0,November 16 1994,Cincinnati,2,198.12
773,Brandon Clarke|clarkbr01,2020,2021,F,6-8,215.0,September 19 1996,San Jose State Gonzaga,1,203.2
775,Jordan Clarkson|clarkjo01,2015,2021,G,6-4,194.0,June 7 1992,Tulsa Missouri,6,193.04
793,Amir Coffey|coffeam01,2020,2021,G,6-7,210.0,June 17 1997,Minnesota,1,200.66
812,John Collins|collijo01,2018,2021,F,6-9,235.0,September 23 1997,Wake Forest,3,205.74
831,Mike Conley|conlemi01,2008,2021,G,6-1,175.0,October 11 1987,Ohio State,13,185.42000000000002
834,Pat Connaughton|connapa01,2016,2021,G,6-5,209.0,January 6 1993,Notre Dame,5,195.58
848,Quinn Cook|cookqu01,2017,2021,G,6-1,180.0,March 23 1993,Duke,4,185.42000000000002
878,DeMarcus Cousins|couside01,2011,2021,C-F,6-10,270.0,August 13 1990,Kentucky,10,208.28
880,Robert Covington|covinro01,2014,2021,F-C,6-7,209.0,December 14 1990,Tennessee State,7,200.66
886,Torrey Craig|craigto01,2018,2021,G-F,6-7,221.0,December 19 1990,USC Upstate,3,200.66
914,Jae Crowder|crowdja01,2013,2021,F,6-6,235.0,July 6 1990,Marquette,8,198.12
916,Jarrett Culver|culveja01,2020,2021,G,6-6,195.0,February 20 1999,Texas Tech,1,198.12
934,Seth Curry|curryse01,2014,2021,G,6-2,185.0,August 23 1990,Liberty Duke,7,187.96
935,Stephen Curry|curryst01,2010,2021,G,6-3,185.0,March 14 1988,Davidson,11,190.5
968,Anthony Davis|davisan02,2013,2021,F-C,6-10,253.0,March 11 1993,Kentucky,8,208.28
982,Ed Davis|davised01,2011,2021,F,6-9,218.0,June 5 1989,UNC,10,205.74
1003,Terence Davis|daviste02,2020,2021,G,6-4,201.0,May 16 1997,Ole Miss,1,193.04
1027,DeMar DeRozan|derozde01,2010,2021,G-F,6-6,220.0,August 7 1989,USC,11,198.12
1058,Donte DiVincenzo|divindo01,2019,2021,G,6-4,203.0,January 31 1997,Villanova,2,193.04
1061,Hamidou Diallo|diallha01,2019,2021,G,6-5,202.0,July 31 1998,Kentucky,2,195.58
1074,Gorgui Dieng|dienggo01,2014,2021,C,6-10,252.0,January 18 1990,Louisville,7,208.28
1086,Spencer Dinwiddie|dinwisp01,2015,2021,G,6-5,215.0,April 6 1993,Colorado,6,195.58
1098,Luka Dončić|doncilu01,2019,2021,G-F,6-7,230.0,February 28 1999,,2,200.66
1108,Luguentz Dort|dortlu01,2020,2021,G,6-3,215.0,April 19 1999,Arizona State,1,190.5
1109,Damyean Dotson|dotsoda01,2018,2021,G,6-5,210.0,May 6 1994,Oregon Houston,3,195.58
1118,Sekou Doumbouya|doumbse01,2020,2021,F,6-8,230.0,December 23 2000,,1,203.2
1126,PJ Dozier|doziepj01,2018,2021,G,6-6,205.0,October 25 1996,South Carolina,3,198.12
1128,Goran Dragić|dragigo01,2009,2021,G,6-3,190.0,May 6 1986,,12,190.5
1140,Andre Drummond|drumman01,2013,2021,C,6-10,279.0,August 10 1993,UConn,8,208.28
1146,Jared Dudley|dudleja01,2008,2021,F-G,6-6,237.0,July 10 1985,Boston College,13,198.12
1165,Kevin Durant|duranke01,2008,2021,F-G,6-10,240.0,September 29 1988,Texas,13,208.28
1200,Carsen Edwards|edwarca01,2020,2021,G,5-11,200.0,March 12 1998,Purdue,1,180.34
1223,Wayne Ellington|ellinwa01,2010,2021,G,6-4,207.0,November 29 1987,UNC,11,193.04
1240,Joel Embiid|embiijo01,2017,2021,C,7-0,280.0,March 16 1994,Kansas,4,213.36
1253,James Ennis|ennisja01,2015,2021,F,6-6,215.0,July 1 1990,Cal State Long Beach,6,198.12
1263,Drew Eubanks|eubandr01,2019,2021,F,6-9,245.0,February 1 1997,Oregon State,2,205.74
1278,Dante Exum|exumda01,2015,2021,G,6-5,214.0,July 13 1995,,6,195.58
1284,Tacko Fall|fallta01,2020,2021,C,7-5,311.0,December 10 1995,Central Florida,1,226.06
1295,Derrick Favors|favorde01,2011,2021,F-C,6-8,265.0,July 15 1991,Georgia Tech,10,203.2
1305,Cristiano Felício|feliccr01,2016,2021,F-C,6-11,270.0,July 7 1992,,5,210.82
1313,Terrance Ferguson|fergute01,2018,2021,G-F,6-6,190.0,May 17 1998,,3,198.12
1315,Bruno Fernando|fernabr01,2020,2021,F,6-9,240.0,August 15 1998,Maryland,1,205.74
1320,Yogi Ferrell|ferreyo01,2017,2021,G,6-0,178.0,May 9 1993,Indiana,4,182.88
1334,Dorian Finney-Smith|finnedo01,2017,2021,F,6-7,220.0,May 4 1993,Florida,4,200.66
1357,Bryn Forbes|forbebr01,2017,2021,G,6-2,205.0,July 23 1993,Michigan State,4,187.96
1381,Evan Fournier|fournev01,2013,2021,G-F,6-7,205.0,October 29 1992,,8,200.66
1386,De'Aaron Fox|foxde01,2018,2021,G,6-3,185.0,December 20 1997,Kentucky,3,190.5
1401,Tim Frazier|fraziti01,2015,2021,G,6-0,170.0,November 1 1990,Penn State,6,182.88
1425,Markelle Fultz|fultzma01,2018,2021,G,6-3,209.0,May 29 1998,Washington,3,190.5
1431,Daniel Gafford|gaffoda01,2020,2021,F,6-10,234.0,October 1 1998,Arkansas,1,208.28
1443,Danilo Gallinari|gallida01,2009,2021,F,6-10,233.0,August 8 1988,,12,208.28
1444,Langston Galloway|gallola01,2015,2021,G,6-1,200.0,December 9 1991,Saint Joseph's,6,185.42000000000002
1459,Darius Garland|garlada01,2020,2021,G,6-1,192.0,January 26 2000,Vanderbilt,1,185.42000000000002
1479,Marc Gasol|gasolma01,2009,2021,C,6-11,255.0,January 29 1985,,12,210.82
1484,Rudy Gay|gayru01,2007,2021,F,6-8,250.0,August 17 1986,UConn,14,203.2
1494,Paul George|georgpa01,2011,2021,F,6-8,220.0,May 2 1990,Fresno State,10,203.2
1512,Harry Giles|gilesha01,2019,2021,F-C,6-11,240.0,April 22 1998,Duke,2,210.82
1513,Shai Gilgeous-Alexander|gilgesh01,2019,2021,G,6-6,180.0,July 12 1998,Kentucky,2,198.12
1537,Rudy Gobert|goberru01,2014,2021,C,7-0,258.0,June 26 1992,,7,213.36
1549,Brandon Goodwin|goodwbr01,2019,2021,G,6-0,180.0,October 2 1995,Central Florida Florida Gulf Coast,2,182.88
1551,Aaron Gordon|gordoaa01,2015,2021,F,6-8,235.0,September 16 1995,Arizona,6,203.2
1554,Eric Gordon|gordoer01,2009,2021,G-F,6-3,215.0,December 25 1988,Indiana,12,190.5
1565,Devonte' Graham|grahade01,2019,2021,G,6-1,195.0,February 22 1995,Kansas,2,185.42000000000002
1583,Jerami Grant|grantje01,2015,2021,F,6-8,210.0,March 12 1994,Syracuse,6,203.2
1604,Danny Green|greenda02,2010,2021,G-F,6-6,215.0,June 22 1987,UNC,11,198.12
1606,Draymond Green|greendr01,2013,2021,F,6-6,230.0,March 4 1990,Michigan State,8,198.12
1609,JaMychal Green|greenja01,2015,2021,F,6-8,227.0,June 21 1990,Alabama,6,203.2
1610,Javonte Green|greenja02,2020,2021,F,6-4,205.0,July 23 1993,Radford,1,193.04
1611,Jeff Green|greenje02,2008,2021,F,6-8,235.0,August 28 1986,Georgetown,13,203.2
1641,Blake Griffin|griffbl01,2011,2021,F,6-9,250.0,March 16 1989,Oklahoma,10,205.74
1671,Kyle Guy|guyky01,2020,2021,G,6-1,167.0,August 11 1997,Virginia,1,185.42000000000002
1673,Rui Hachimura|hachiru01,2020,2021,F,6-8,230.0,February 8 1998,Gonzaga,1,203.2
1741,Tim Hardaway|hardati02,2014,2021,G,6-5,205.0,March 16 1992,Michigan,7,195.58
1742,James Harden|hardeja01,2010,2021,G,6-5,220.0,August 26 1989,Arizona State,11,195.58
1750,Maurice Harkless|harklma01,2013,2021,F-G,6-7,220.0,May 11 1993,St. John's,8,200.66
1755,Jared Harper|harpeja01,2020,2021,G,5-10,175.0,September 14 1997,Auburn,1,177.8
1760,Montrezl Harrell|harremo01,2016,2021,F-C,6-7,240.0,January 26 1994,Louisville,5,200.66
1773,Gary Harris|harriga01,2015,2021,G,6-4,210.0,September 14 1994,Michigan State,6,193.04
1775,Joe Harris|harrijo01,2015,2021,G,6-6,220.0,September 6 1991,Virginia,6,198.12
1781,Tobias Harris|harrito02,2012,2021,F,6-8,226.0,July 15 1992,Tennessee,9,203.2
1787,Shaquille Harrison|harrish01,2018,2021,G,6-7,190.0,October 6 1993,Tulsa,3,200.66
1789,Josh Hart|hartjo01,2018,2021,G,6-5,215.0,March 6 1995,Villanova,3,195.58
1790,Isaiah Hartenstein|harteis01,2019,2021,F,7-0,250.0,May 5 1998,,2,213.36
1816,Jaxson Hayes|hayesja02,2020,2021,F,6-11,220.0,May 23 2000,Texas,1,210.82
1821,Gordon Hayward|haywago01,2011,2021,F-G,6-7,225.0,March 23 1990,Butler,10,200.66
1862,Juan Hernangómez|hernaju01,2017,2021,F,6-9,214.0,September 28 1995,,4,205.74
1863,Willy Hernangómez|hernawi01,2017,2021,C,6-11,250.0,May 27 1994,,4,210.82
1867,Tyler Herro|herroty01,2020,2021,G,6-5,195.0,January 20 2000,Kentucky,1,195.58
1882,Buddy Hield|hieldbu01,2017,2021,G,6-4,220.0,December 17 1992,Oklahoma,4,193.04
1897,George Hill|hillge01,2009,2021,G,6-4,188.0,May 4 1986,IUPUI,12,193.04
1901,Solomon Hill|hillso01,2014,2021,F,6-6,226.0,March 18 1991,Arizona,7,198.12
1926,Aaron Holiday|holidaa01,2019,2021,G,6-0,185.0,September 30 1996,UCLA,2,182.88
1927,Jrue Holiday|holidjr01,2010,2021,G,6-3,205.0,June 12 1990,UCLA,11,190.5
1928,Justin Holiday|holidju01,2013,2021,F,6-6,180.0,April 5 1989,Washington,8,198.12
1938,Richaun Holmes|holmeri01,2016,2021,F-C,6-10,235.0,October 15 1993,Bowling Green,5,208.28
1948,Rodney Hood|hoodro01,2015,2021,G-F,6-8,208.0,October 20 1992,Mississippi State Duke,6,203.2
1958,Al Horford|horfoal01,2008,2021,C-F,6-9,240.0,June 3 1986,Florida,13,205.74
1965,Talen Horton-Tucker|hortota01,2020,2021,G-F,6-4,234.0,November 25 2000,Iowa State,1,193.04
1968,Danuel House|houseda01,2017,2021,G,6-6,220.0,June 7 1993,Texas A&M,4,198.12
1974,Dwight Howard|howardw01,2005,2021,C,6-10,265.0,December 8 1985,,16,208.28
1990,Kevin Huerter|huertke01,2019,2021,G,6-7,190.0,August 27 1998,Maryland,2,200.66
2009,De'Andre Hunter|huntede01,2020,2021,F,6-8,225.0,December 2 1997,Virginia,1,203.2
2021,Chandler Hutchison|hutchch01,2019,2021,G,6-6,210.0,April 26 1996,Boise State,2,198.12
2025,Serge Ibaka|ibakase01,2010,2021,F-C,6-10,235.0,September 18 1989,,11,208.28
2026,Andre Iguodala|iguodan01,2005,2021,G-F,6-6,215.0,January 28 1984,Arizona,16,198.12
2033,Joe Ingles|inglejo01,2015,2021,F-G,6-7,220.0,October 2 1987,,6,200.66
2036,Brandon Ingram|ingrabr01,2017,2021,F,6-8,190.0,September 2 1997,Duke,4,203.2
2041,Kyrie Irving|irvinky01,2012,2021,G,6-2,195.0,March 23 1992,Duke,9,187.96
2049,Wesley Iwundu|iwundwe01,2018,2021,F,6-6,195.0,December 20 1994,Kansas State,3,198.12
2058,Frank Jackson|jacksfr01,2019,2021,G,6-3,205.0,May 4 1998,Duke,2,190.5
2064,Josh Jackson|jacksjo02,2018,2021,F-G,6-8,207.0,February 10 1997,Kansas,3,203.2
2065,Justin Jackson|jacksju01,2018,2021,G-F,6-8,220.0,March 28 1995,UNC,3,203.2
2078,Reggie Jackson|jacksre01,2012,2021,G,6-2,208.0,April 16 1990,Boston College,9,187.96
2096,Justin James|jamesju01,2020,2021,G,6-7,190.0,January 24 1997,Wyoming,1,200.66
2097,LeBron James|jamesle01,2004,2021,F-G,6-9,250.0,December 30 1984,,17,205.74
2147,Cameron Johnson|johnsca02,2020,2021,F,6-8,210.0,March 3 1996,Pitt UNC,1,203.2
2174,James Johnson|johnsja01,2010,2021,F,6-7,240.0,February 20 1987,Wake Forest,11,200.66
2178,Keldon Johnson|johnske04,2020,2021,G,6-5,220.0,October 11 1999,Kentucky,1,195.58
